concept_id,name,type,level,description,earliest_evidence_date,earliest_evidence_type,location,language,properties,research_status
ART0028,Poetry,branch,3,"Includes forms like sonnets, haikus, free verse, and narrative poetry, focusing on language and rhythm.",-5000,Historical,Global,Various,Subcategory of Literary Arts,confirmed
ART0029,Prose,branch,3,"Encompasses novels, short stories, essays, and creative nonfiction, emphasizing narrative and style.",-5000,Historical,Global,Various,Subcategory of Literary Arts,confirmed
ART0030,Playwriting,branch,3,"Writing for theatrical performance, including scripts for dramas, comedies, and experimental works.",-5000,Historical,Global,Various,Subcategory of Literary Arts,confirmed
ART0031,Screenwriting,branch,3,"Scripts for film, television, or digital media, focusing on visual storytelling and dialogue.",-5000,Historical,Global,Various,Subcategory of Literary Arts,confirmed
ART0032,Applied_Arts,sub_root,2,Major category of applied arts,-40000,Archaeological,Global,Various,Major art form category,confirmed
ART0033,Graphic_Design,branch,3,"Includes branding, typography, illustration, and digital design for advertising, media, or user interfaces.",-5000,Historical,Global,Various,Subcategory of Applied Arts,confirmed
ART0034,Fashion_Design,branch,3,"Encompasses clothing, accessories, and textile design, blending aesthetics with functionality.",-5000,Historical,Global,Various,Subcategory of Applied Arts,confirmed
ART0035,Industrial_Design,branch,3,"Designs functional products like furniture, appliances, or vehicles, prioritizing form and usability.",-5000,Historical,Global,Various,Subcategory of Applied Arts,confirmed
ART0036,Interior_Design,branch,3,"Focuses on designing interior spaces, combining aesthetics, ergonomics, and functionality.",-5000,Historical,Global,Various,Subcategory of Applied Arts,confirmed
ART0037,Ceramic_Arts,branch,3,"Includes pottery, porcelain, and clay-based sculptures, often combining functional and decorative elements.",-5000,Historical,Global,Various,Subcategory of Applied Arts,confirmed
ART0038,Jewelry_Design,branch,3,"Crafting wearable art using metals, gemstones, and other materials, emphasizing aesthetics and craftsmanship.",-5000,Historical,Global,Various,Subcategory of Applied Arts,confirmed
ART0039,Cinematic_Arts,sub_root,2,Major category of cinematic arts,-40000,Archaeological,Global,Various,Major art form category,confirmed
ART0040,Film_Directing,branch,3,"Involves overseeing the artistic vision of a film, including storytelling, cinematography, and performance.",1890,Historical,Global,Various,Subcategory of Cinematic Arts,confirmed
ART0041,Cinematography,branch,3,"Focuses on the art of capturing visuals through lighting, camera angles, and shot composition.",-5000,Historical,Global,Various,Subcategory of Cinematic Arts,confirmed
ART0042,Film_Editing,branch,3,Involves assembling and refining footage to create cohesive narratives or experimental films.,1890,Historical,Global,Various,Subcategory of Cinematic Arts,confirmed
ART0043,Animation,branch,3,"Includes traditional, stop-motion, 2D, 3D, and computer-generated animation for storytelling or art.",-5000,Historical,Global,Various,Subcategory of Cinematic Arts,confirmed
ART0044,Sound_Design,branch,3,"Crafting audio elements like sound effects, music, and dialogue to enhance cinematic experiences.",-5000,Historical,Global,Various,Subcategory of Cinematic Arts,confirmed
ART0045,Folk_and_Traditional_Arts,sub_root,2,Major category of folk and traditional arts,-40000,Archaeological,Global,Various,Major art form category,confirmed
ART0046,Textile_Arts,branch,3,"Includes weaving, embroidery, quilting, and dyeing, often tied to cultural traditions.",-5000,Historical,Global,Various,Subcategory of Folk and Traditional Arts,confirmed
ART0047,Calligraphy,branch,3,"The art of decorative handwriting, spanning styles like Western, Arabic, Chinese, or Japanese.",-5000,Historical,Global,Various,Subcategory of Folk and Traditional Arts,confirmed
ART0048,Folk_Music,branch,3,"Traditional music passed down through generations, often tied to cultural or regional identities.",-40000,Historical,Global,Various,Subcategory of Folk and Traditional Arts,confirmed
ART0049,Traditional_Dance,branch,3,"Cultural dances like Native American powwow, Irish step dance, or African tribal dances.",-30000,Historical,Global,Various,Subcategory of Folk and Traditional Arts,confirmed
ART0050,Craft_Arts,branch,3,"Includes woodworking, metalworking, glassblowing, and basketry, emphasizing handmade techniques.",-5000,Historical,Global,Various,Subcategory of Folk and Traditional Arts,confirmed
